"Participant_number","Fictional_story","Abstract_shapes","Sensory_sensations","Life_experiences","Media","Music","Future_plans","Building","Everyday","Movement_mem","Mem_description","Mem_music_evoked","Mem_spontaneity","Mem_individuality","Movement_story","Story_description","Story_music_evoked","Story_spontaneity","Story_individuality","Other_info","Age","Gender","Music_listening","Practice","Location","ID"
25,"A moderate amount of the time","Not at all","Not at all","Most of the time","A small amount of the time","All of the time","Most of the time","A small amount of the time","A small amount of the time","B1","Learning the violin. Holding the violin, loving the violin and wishing I still played. Planning to buy a violin + take lessons again. Seeing the violin and hearts full of appendage - not ___ from my hobby. Watching the movement of the musicians before as they played. Remembering how it feels to play + how the violin prompts one to ssavor how the violin and sounds are ___.","Entirely","Entirely","Entirely","B1, B4, H4, H6","Nature, Greenery, Woodlands, Pris","Mostly","Mostly","Entirely","My motives was an apeare singers so parts always appended to music. One 4 years old my tennis teen was to the Planet ___. As the ___ opened + the stars appeared, the enchanted music swelled + I burst into tears at the heading of the music + the stars",NA,"4",NA,NA,NA,NA
26,"Most of the time","Not at all","Not at all","A moderate amount of the time","Not at all","All of the time","A small amount of the time","Not at all","Not at all","B1","A boy aged about four, who when he heard a cello for the first time burst into tears with heavy sobs. Then, almost immediately, a memory, about the other end up life: my grandmother. At a concert she knew would probably be the last she would ever attend, bursting into tears. The music was Beethoven's ninth symphony.","Entirely","Entirely","Entirely","H4","Divers theatrical characters strutting and getting on a stage.","Entirely","Entirely","Mostly",NA,"73","Female","Very frequently","Twelve","H",NA
27,"A small amount of the time","A small amount of the time","A small amount of the time","Most of the time","Not at all","A moderate amount of the time","A small amount of the time","A small amount of the time","A moderate amount of the time","H2","Rowing on the small pond in the Bois de Boulogne with my husband. It was sunny and not windy. The water moved slowly around the boat. Watching the small ""taxi"" ferry restaurant guests for the Sunday dejeuner to the guitar looking restaurant on the pond and small island.","Mostly","Mostly","Entirely","H1","This was suggested by composer Hough's introduction, describing what he had in mind when he wrote this piece. I imagined the hustle of pedestrains, carriages and horses on a wide Paris boulevard. Not stalling, rather the move - memory prusues with purpose, with much intent to go to their destinations.","Moderately","Moderately","Moderately","When the Beethoven piece began, I was ____ how I feel this space is a peaceful protected interior. In particular, these days very much away from current news and the dreadful MAGAs. I seriously wonder (am convinced) no MAGAs enter here. Thankfully!","68","Female","Frequently","Never","G",NA
28,"Not at all","Not at all","Not at all","Not at all","Not at all","Most of the time","Not at all","Not at all","Not at all",NA,"I didn't experience memories. I'm listening to the music.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","Female","Very frequently","70","I",NA
29,"Not at all","Not at all","Not at all","Not at all","Not at all","All of the time","Not at all","Not at all","A small amount of the time",NA,"I had no memories. I was at this concert because I love this quartet and their interpretation of Beethoven. I was entirely absorbed by the music, its structure and development. If I wanted to daydream, I would have stayed at home!",NA,NA,NA,NA,"No fictional imaginings at all! I don't really understand these questions. Listening to music is totally absorbive and immersive. I think I'm the wrong subject for your research! None - no imaginings!","Not at all","Not at all","Not at all",NA,"73","Female","Very frequently","10 years from age 8-18; now 3 years","I",NA
30,"Not at all","Not at all","A small amount of the time","A moderate amount of the time","Not at all","Most of the time","Not at all","Not at all","A small amount of the time","B1","I play the violin and have played reguarly with a string quartet that sight read every Saturday morning. The first movement of the Beethoven brought back many memories of this great repertorie. That I no longer have as I have moved.","Moderately","Mostly","Entirely","H1;H2;H3","My great-grandmother was an accomplished artist and did several drawings that look like late 19th century/early 20th century Paris. This music made me imagine this Paris.","Mostly","Entirely","Entirely",NA,"77","Female","Frequently",NA,"E",NA
31,"Not at all","Not at all","Not at all","A small amount of the time","Not at all","Not at all","Not at all","Not at all","Not at all","B2;B3","I rememnbered someone a couple of years behind me in grade school (~1950) and the house where she lived, then when a US senator of the same family anme came to my parents house for a social occasion - drinks before lunch, I think. I have no idea why I should remember this! No other thoughts. This was during the Beethoven probably movement 2, maybe 3. The most coherent vision was of the bridge over the Charles River on the road to this person's house (a house I never visited, but I knew where it was).","Not at all","Entirely","Mostly",NA,"I had no fictional imaginings, I had some thoughts about the Hough quartet - which movement was being played, could I remember the titles? But I didn't envision them.","Mostly","Moderately","Slightly",NA,"86","Male","Frequently","None. Tried to learn the clarinet when in school (~1954), failed.","F",NA
32,"A moderate amount of the time","Not at all","Not at all",NA,"Not at all","A moderate amount of the time","A moderate amount of the time","A small amount of the time","A small amount of the time","B2;H4","I fanticized about whether it was interfering or bothering the woman seated ___ of ___ me. This ___ during Hough, movement 4 dud was influenced by the composer's introducing ___ and my state of partial dreaminess.","Moderately","Mostly","Entirely","H4","Please see commentary on previous page. My ___ is ___ ___ here as a ""fictional imaginings"" rather than a memory.","Moderately","Entirely","Entirely",NA,"81","Male","Frequently","10 years from age 8-18","D",NA
33,"A moderate amount of the time","A small amount of the time","Not at all","A moderate amount of the time","A moderate amount of the time","A moderate amount of the time","A small amount of the time","A small amount of the time","A moderate amount of the time","B1; B2; B3; H1; H5","The whole first half was in the UK for me, even though I've never been there! Beethoven mvmt 1 conjured a memory of my brother (this one part wasn't in the uk) learning to crawl on Easter day years ago, crawlling for a plate of sweet tarts that ended up on the floor, then it went to Beatrix Potter Peter Cottontail Morie and its pastels. Then what I imagined when I read Wuthering Heights - rainy hills of heather. At adagio, an image of rain pouring down a wood-framed window. Hough was fountains! All over, coming up from the concrete. I guesss the concrete was at Cinderella's castle. Also some of the movemets brought me to a vide of Darcy Bussel dancing the ballet Prince of the Pagolas Red & graig.","Mostly","Mostly","Entirely","B1; B2; B4; H1; H4; H5; H6","Oops...I answered this!","Mostly","Mostly","Entirely",NA,"35","Female","Frequently",NA,"F",NA
34,"A moderate amount of the time","Most of the time","A moderate amount of the time","Most of the time","Not at all","Most of the time","A small amount of the time","A moderate amount of the time","Not at all","H5","Beginning with the tiny al hilk rowing voices from the second violin and the viola, I just been unitry out or escaping out from the mostly and obscure of moon light covering with the mushroom smell, chasing by the ____ of the it all ends with the start of the plunge I saw the first light in a white color the purest color, gleamering light shine on face, through the trees pass through the lenses fsurfece, as if all the mastering black magic gone and I sunddenly found. Nope again, the sun will always lone, even at the darkest age","Entirely","Mostly","Entirely","B1","The delicate turning of the violin colding with the rhymes with the cello, I found myself spining thorugh time, and ___ to the place of my rey only, ___ I was five and I was trying to learn how to dance. The spinning of traditional Chinese dance as the spinning and up rising of the violin at each of the dynamics of the cello is the turning of each dance character, as through from violets to homogenous as I first scared of fault at which I found exteremely joy in it, and then everything seems to change, or somehow too shortly, as strech my leg over the top of my head and appears the innocent smile last time to the audience, the quoartet ends, al my dance ended at them seven. Absolute quiet as the perform went off all my childhood fall even I once thought I can always withhhold.","Entirely","Entirely","Entirely","I once thought I loved dance just because the elegant of oneself could only be perform in that way, as if that should be the beauty of a moment. As ___ on, the music went back to the dancing, memories and I imagine I was dancing again, ___. The beauty is not only its elegant, but the key of expressing oneself, the koot come naturally with your identity. Music let one fixed its identity, music let one final it's identity at memories but not letting one forget about why.","10 (or 60?)","Female","Very frequently","Eleven years of piano","F",NA
